interval_start,consumption
2020-04-12,4.015000000000001
2020-04-19,20.964000000000002
2020-04-26,16.725
2020-05-03,24.541
2020-05-10,15.516
2020-05-17,18.489
2020-05-24,11.231
2020-05-31,7.183
2020-06-07,10.729
2020-06-14,11.684
2020-06-21,9.638
2020-06-28,9.286
2020-07-05,10.767
2020-07-12,9.707
2020-07-19,10.407
2020-07-26,7.873
2020-08-02,5.579
2020-08-09,6.333
2020-08-16,4.58
2020-08-23,5.249
2020-08-30,8.052
2020-09-06,7.922
2020-09-13,8.961
2020-09-20,7.158
2020-09-27,6.608
2020-10-04,28.982
2020-10-11,39.73
2020-10-18,43.267
2020-10-25,34.49
2020-11-01,32.864
2020-11-08,48.472
2020-11-15,41.096
2020-11-22,54.476
2020-11-29,63.446
2020-12-06,87.463
2020-12-13,76.674
2020-12-20,64.159
2020-12-27,66.383
2021-01-03,104.879
2021-01-10,94.601
2021-01-17,88.78
2021-01-24,79.708
2021-01-31,0.0
2021-02-07,55.59
2021-02-14,93.237
2021-02-21,54.387
2021-02-28,57.527
2021-03-07,71.646
2021-03-14,69.513
2021-03-21,62.709
2021-03-28,61.782000000000004
2021-04-04,42.318
2021-04-11,44.471
2021-04-18,59.502
2021-04-25,33.756
2021-05-02,37.189
2021-05-09,40.086
2021-05-16,24.089
2021-05-23,20.017
2021-05-30,27.516
2021-06-06,10.916
2021-06-13,4.805
2021-06-20,9.298
2021-06-27,10.100999999999999
2021-07-04,7.198
2021-07-11,7.996
2021-07-18,8.187
2021-07-25,5.603
2021-08-01,7.359
2021-08-08,6.908
2021-08-15,6.828
2021-08-22,6.803
2021-08-29,6.793
2021-09-05,9.625
2021-09-12,8.377
2021-09-19,7.298
2021-09-26,4.827
2021-10-03,5.271
2021-10-10,25.905
2021-10-17,27.939
2021-10-24,29.323
2021-10-31,34.475
2021-11-07,54.017
2021-11-14,42.518
2021-11-21,50.294
2021-11-28,65.879
2021-12-05,74.817
2021-12-12,74.23
2021-12-19,49.396
2021-12-26,52.801
2022-01-02,44.695
2022-01-09,63.686
2022-01-16,60.049
2022-01-23,62.242
2022-01-30,58.102000000000004
2022-02-06,51.889
2022-02-13,53.181
2022-02-20,58.772
2022-02-27,57.151
2022-03-06,53.892
2022-03-13,43.583
2022-03-20,40.105
2022-03-27,37.364
2022-04-03,39.083
2022-04-10,44.924
2022-04-17,23.18
2022-04-24,29.476
2022-05-01,10.589
2022-05-08,8.612
2022-05-15,9.648
2022-05-22,7.254
2022-05-29,5.361
2022-06-05,7.649
2022-06-12,7.422
2022-06-19,6.992
2022-06-26,6.501
2022-07-03,4.38
2022-07-10,6.72
2022-07-17,5.5280000000000005
2022-07-24,2.473
2022-07-31,0.038
2022-08-07,3.416
2022-08-14,3.585
2022-08-21,5.551
2022-08-28,5.175
2022-09-04,5.112
2022-09-11,5.245
2022-09-18,5.823
2022-09-25,9.65
2022-10-02,13.218
